NO.;KODE PUSK.;NAMA PUSKESMAS;ALAMAT;PONED;JENIS PUSKESMAS;KOTA/KABUPATEN
1;P3201010101;NANGGUNG;Jl. Ace Tabrani Km 5, Kec. Nanggung;1;1;Kabupaten Bogor
2;P3201010202;CURUG BITUNG;Kp. Cibeber Nanggung, Kec. Nanggung;;2;Kabupaten Bogor
3;P3201020101;LEUWILIANG;Jl. Raya Moch. Noor No. 3, Kec. Leuwiliang;;1;Kabupaten Bogor
4;P3201020202;PURASEDA;Kp. Gudang, Kec. Leuwiliang;;2;Kabupaten Bogor
5;P3201020203;SADENG PASAR;Ds. Sadeng Pasar, Kec. Leuwiliang;;2;Kabupaten Bogor
6;P3201021201;LEUWISADENG;Kp. Joglo, Kec. Luewisadeng;;2;Kabupaten Bogor
7;P3201030201;PAMIJAHAN;Kp. Pasar Jum' at Rt. 02/05, Kec. Pamijahan;;2;Kabupaten Bogor
8;P3201030202;CIBENING;Ds. Cibening, Kec. Pamijahan;;2;Kabupaten Bogor
9;P3201030203;CIASMARA;Jl. Raya KH Abd. Hamid km 15, Kec. Pamijahan;;2;Kabupaten Bogor
10;P3201040101;CIBUNGBULANG;Jl. Raya Bungbulang Km 4, Kec. Cibungbulang;1;1;Kabupaten Bogor
11;P3201040202;CIJUJUNG;Jl. Raya Galuga Km 19, Kec. Cibungbulang;;2;Kabupaten Bogor
12;P3201040203;SITU UDIK;Jl. Raya KH Abd. Hamid Km 4, Kec. Cibungbulang;;2;Kabupaten Bogor
13;P3201050201;CIAMPEA;Jl. Letnan Sukarno No. 28, Kec. Ciampea;;2;Kabupaten Bogor
14;P3201050202;PASIR;Kp. Pasir Oray, Kec. Ciampea;;2;Kabupaten Bogor
15;P3201050203;CIAMPEA UDIK;Kp. Laladon, Kec. Ciampea;;2;Kabupaten Bogor
16;P3201050204;CIHIDEUNG UDIK;Ds. Cihideung Udik, Kec. Ciampea;;2;Kabupaten Bogor
17;P3201051201;TENJOLAYA;JL. R. Abd. Fatah Tapos 2, Kec. Tenjolaya;1;2;Kabupaten Bogor
18;P3201060101;DARMAGA;Jl. Raya Ciherang, Kec. Darmaga;;1;Kabupaten Bogor
19;P3201060202;CANGKURAWOK;Kp Cangkurawok Rt 2/3, Kec. Darmaga;;2;Kabupaten Bogor
20;P3201060203;KAMPUNG MANGGIS;Jl. Sirnasari, Kec. Darmaga;;2;Kabupaten Bogor
21;P3201060204;PURWASARI;Jl. Situ Lincal RT 01/07 No. 10, Kec. Darmaga;;2;Kabupaten Bogor
22;P3201070101;CIOMAS;Kp. Sukajaya Rt 1/2, Kec. Ciomas;1;1;Kabupaten Bogor
23;P3201070202;CIAPUS;Jl. Raya Sukamakmur, Kec. Ciomas;;2;Kabupaten Bogor
24;P3201070203;KOTA BATU;Jl. Raya Ciapus Komp Badak Putih, Kec. Ciomas;;2;Kabupaten Bogor
25;P3201070204;LALADON;Komplek Laladon Permai, Kec. Ciomas;;2;Kabupaten Bogor
26;P3201071201;TAMANSARI;Ds. Sukajaya, Kec. Tamansari;;2;Kabupaten Bogor
27;P3201071202;SIRNA GALIH;Jl. Kapten Yusuf No.10, Kec. Tamansari;;2;Kabupaten Bogor
28;P3201071203;SUKARESMI;Jl. Cipadung Ds Sukaresmi, Kec. Tamansari;;2;Kabupaten Bogor
29;P3201080201;CIJERUK;Ds. Tanjungsari Rt 9/4 No. 424, Kec. Cijeruk;1;2;Kabupaten Bogor
30;P3201080202;CIBURAYUT;Ds. Ciburayut No. 4, Kec. Cijeruk;;2;Kabupaten Bogor
31;P3201080203;SUKAHARJA;Kec. Cijeruk;;2;Kabupaten Bogor
32;P3201081101;CIGOMBONG;Jl. R. Abd. Fatah Tapos 2, Kec. Cigombong;1;1;Kabupaten Bogor
33;P3201090201;CARINGIN;Jl. Kol. Bustomi Ds. Caringin, Kec. Caringin;;2;Kabupaten Bogor
34;P3201090202;CINAGARA;Ds. Cinagara Rt2/5, Kec. Caringin;;2;Kabupaten Bogor
35;P3201090203;CIDERUM;Kp. Cigereteg Rt 01/1, Kec. Caringin;;2;Kabupaten Bogor
36;P3201100201;CIAWI;Jl. Raya Sukabumi Gg. Ayu, Kec. Ciawi;;2;Kabupaten Bogor
37;P3201100202;BANJARSARI;Ds. Banjarsari Rt 05/011, Kec. Ciawi;;2;Kabupaten Bogor
38;P3201100203;CITAPEN;Jl. Raya Tapos Ds Cipaten, Kec. Ciawi;;2;Kabupaten Bogor
39;P3201110201;CISARUA;Jl. Raya Puncak Km 63, Kec. Cisarua;;2;Kabupaten Bogor
40;P3201110202;CIBULAN;Jl. Raya Puncak Km 81, Kec. Cisarua;;2;Kabupaten Bogor
41;P3201120201;MEGAMENDUNG;Ds. Cipayung Girang No. 1, Kec.  Megamendung;;2;Kabupaten Bogor
42;P3201120202;SUKAMANAH;Kp Pasir  Muncang Rt 1/1, Kec. Megamendung;;2;Kabupaten Bogor
43;P3201130201;CILEBUT;Kec. Sukaraja;;2;Kabupaten Bogor
44;P3201130102;CIMANDALA;Jl. Raya Jakarta - Bogor Km 51, Kec. Sukaraja;;1;Kabupaten Bogor
45;P3201130103;SUKARAJA;Jl. Raya Cikeas, Kec. Sukaraja;1;1;Kabupaten Bogor
46;P3201140201;BABAKAN MADANG;Jl. Raya Babakan Madang, Kec. Babakan Madang;;2;Kabupaten Bogor
47;P3201140202;CIJAYANTI;Jl. Cijayanti No. 6, Kec. Babakan Madang;;2;Kabupaten Bogor
48;P3201140203;SENTUL;Jl. Pintu 3 Sirkuit Sentul, Kec. Babakan Madang;;2;Kabupaten Bogor
49;P3201150101;SUKAMAKMUR;Ds. Sukamakmur, Kec. Sukamakmur;1;1;Kabupaten Bogor
50;P3201150202;SUKADAMAI;Kp. Waru Ds. Sukadamai, Kec. Sukamakmur;;2;Kabupaten Bogor
51;P3201160201;CARIU;Jl. Brigjen Darsono No. 13, Kec. Cariu;1;2;Kabupaten Bogor
52;P3201160202;KARYAMEKAR;Ds. Karyamekar, Kec. Cariu;;2;Kabupaten Bogor
53;P3201161101;TANJUNGSARI;Jl. Abd Halim No. 60, Kec. Tanjungsari;1;1;Kabupaten Bogor
54;P3201170101;JONGGOL;Jl. Pojok Salak Rt 9/11, Kec. Jonggol;;1;Kabupaten Bogor
55;P3201170202;BALEKAMBANG;Kop. Bondol Ds. Balekambang, Kec. Jonggol;;2;Kabupaten Bogor
56;P3201170203;SUKANEGARA;Kp. Dayeuh Ds. Sukanegara, Kec. Jonggol;;2;Kabupaten Bogor
57;P3201180201;CILEUNGSI;Ds. Cileungsi, Kec. Cileungsi;1;2;Kabupaten Bogor
58;P3201180202;GANDOANG;Jl. Raya Cileungsi Jonggol, Kec. Cileungsi;;2;Kabupaten Bogor
59;P3201180203;PASIR ANGIN;Jl. Raya Setu Rt 1/1, Kec. Cileungsi;;2;Kabupaten Bogor
61;P3201180204;BOJONG;Ds. Bojong, Kec. Cileungsi;;2;Kabupaten Bogor
